,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
13351,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,very well payed
13353,3,2 - 4 years,2 - 4 years,College degree,Woman,Other,well payed
13354,1,41 years or more,41 years or more,High School,Man,Industry,bad payed
13355,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
13356,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed
13357,1,1 year or less,5-7 years,College degree,Man,Education,bad payed
13359,3,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
13361,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
13362,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
13363,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
13364,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
13365,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
13366,3,21 - 30 years,11 - 20 years,College degree,Woman,Other,very well payed
13367,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13368,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
13369,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
13370,0,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed
13371,3,11 - 20 years,5-7 years,College degree,Woman,Other,well payed
13372,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,bad payed
13373,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
13376,3,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,well payed
13377,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13380,0,31 - 40 years,31 - 40 years,PhD,Woman,Education,well payed
13381,0,8 - 10 years,8 - 10 years,PhD,Woman,Education,very well payed
13382,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
13383,0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed
13384,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
13385,2,11 - 20 years,8 - 10 years,College degree,Woman,Public & Government,well payed
13386,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
13387,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
13388,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13390,0,5-7 years,5-7 years,College degree,Woman,Education,well payed
13391,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
13392,3,2 - 4 years,1 year or less,PhD,Woman,Technology & Science,well payed
13393,0,8 - 10 years,8 - 10 years,PhD,Woman,Unidentified,well payed
13395,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,very well payed
13396,0,8 - 10 years,5-7 years,Master's degree,Woman,Unidentified,well payed
13397,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Consulting,well payed
13398,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
13399,0,11 - 20 years,5-7 years,Master's degree,Woman,Health,very well payed
13400,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
13401,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
13402,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed
13403,3,8 - 10 years,8 - 10 years,College degree,Woman,Industry,well payed
13404,0,11 - 20 years,5-7 years,College degree,Woman,Education,well payed
13405,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed
13406,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
13407,0,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed
13408,1,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
13409,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
13410,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
13411,1,1 year or less,1 year or less,College degree,Man,Technology & Science,bad payed
13412,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
13413,3,5-7 years,2 - 4 years,College degree,Woman,Industry,well payed
13414,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,well payed
13415,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,well payed
13416,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
13417,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
13418,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
13419,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
13420,3,31 - 40 years,31 - 40 years,College degree,Woman,Health,well payed
13422,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
13423,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,well payed
13424,2,5-7 years,2 - 4 years,Some college,Non-binary,Public & Government,bad payed
13425,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,bad payed
13426,3,11 - 20 years,5-7 years,College degree,Woman,Health,bad payed
13427,0,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Consulting,very well payed
13428,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
13429,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed
13430,3,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13431,0,5-7 years,5-7 years,Some college,Non-binary,Law,well payed
13432,3,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,well payed
13433,2,11 - 20 years,5-7 years,College degree,Woman,Public & Government,bad payed
13434,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
13435,1,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Public & Government,well payed
13436,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
13438,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
13439,3,5-7 years,2 - 4 years,College degree,Woman,Industry,well payed
13440,2,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
13441,0,5-7 years,5-7 years,Master's degree,Woman,Industry,very well payed
13442,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13443,3,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
13444,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
13447,0,21 - 30 years,11 - 20 years,High School,Woman,Banking & Insurance,well payed
13448,3,5-7 years,1 year or less,College degree,Woman,Other,well payed
13449,0,1 year or less,1 year or less,PhD,Woman,Industry,well payed
13450,0,11 - 20 years,8 - 10 years,Master's degree,Prefer not to answer,Banking & Insurance,well payed
13451,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
13452,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed
13453,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,bad payed
13454,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
13456,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
13457,0,8 - 10 years,8 - 10 years,PhD,Woman,Other,very well payed
13458,0,5-7 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
13459,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
13460,3,31 - 40 years,31 - 40 years,College degree,Woman,Other,bad payed
13461,1,21 - 30 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
13462,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
13463,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
13465,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
13466,3,1 year or less,1 year or less,College degree,Woman,Industry,well payed
13467,1,11 - 20 years,8 - 10 years,College degree,Man,Unidentified,very well payed
13468,3,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13469,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,bad payed
13470,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
13471,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,well payed
13472,0,11 - 20 years,11 - 20 years,PhD,Prefer not to answer,Industry,very well payed
13473,1,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,well payed
13474,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
13476,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
13477,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
13478,0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,bad payed
13479,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
13480,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
13481,0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
13482,1,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,well payed
13484,0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
13485,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
13486,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
13487,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13489,1,11 - 20 years,8 - 10 years,High School,Man,Consulting,well payed
13490,1,2 - 4 years,1 year or less,Some college,Man,Technology & Science,bad payed
13491,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed
13492,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,very well payed
13493,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed
13494,3,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,well payed
13498,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,bad payed
13499,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
13500,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
13501,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
13502,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
13503,1,31 - 40 years,31 - 40 years,PhD,Man,Public & Government,well payed
13504,1,2 - 4 years,2 - 4 years,College degree,Man,Industry,well payed
13506,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
13507,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,bad payed
13508,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
13509,3,5-7 years,1 year or less,College degree,Woman,Banking & Insurance,very well payed
13510,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
13512,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
13513,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
13514,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
13516,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
13517,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,very well payed
13518,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,well payed
13519,3,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
13521,2,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
13522,0,1 year or less,1 year or less,College degree,Woman,Education,bad payed
13523,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
13524,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
13525,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
13526,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
13527,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
13528,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
13529,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
13530,1,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,well payed
13531,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
13532,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
13533,1,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed
13534,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed
13535,2,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed
13536,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
13537,1,11 - 20 years,1 year or less,College degree,Man,Technology & Science,well payed
13539,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13540,3,8 - 10 years,2 - 4 years,College degree,Woman,Consulting,bad payed
13541,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
13542,1,11 - 20 years,11 - 20 years,College degree,Man,Advertising,very well payed
13544,1,1 year or less,1 year or less,College degree,Man,Banking & Insurance,bad payed
13545,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed
13546,3,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
13547,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,bad payed
13548,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
13550,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
13551,3,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,well payed
13552,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
13553,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed
13554,0,11 - 20 years,11 - 20 years,Master's degree,Man,Advertising,very well payed
13555,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,well payed
13556,1,8 - 10 years,8 - 10 years,College degree,Man,Culture,well payed
13557,3,11 - 20 years,2 - 4 years,PhD,Woman,Technology & Science,very well payed
13559,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
13560,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
13561,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,bad payed
13562,1,8 - 10 years,8 - 10 years,College degree,Non-binary,Other,bad payed
13563,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
13565,1,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Non profit Organization,well payed
13567,3,5-7 years,5-7 years,College degree,Woman,Culture,bad payed
13568,1,1 year or less,1 year or less,College degree,Prefer not to answer,Consulting,well payed
13569,1,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,well payed
13570,0,11 - 20 years,11 - 20 years,Master's degree,Man,Health,very well payed
13571,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Advertising,bad payed
13572,1,11 - 20 years,8 - 10 years,College degree,Man,Public & Government,well payed
13574,1,2 - 4 years,2 - 4 years,College degree,Non-binary,Culture,bad payed
13575,0,5-7 years,2 - 4 years,Master's degree,Man,Advertising,bad payed
13576,0,11 - 20 years,8 - 10 years,PhD,Woman,Education,well payed
13577,1,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,very well payed
13578,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13579,0,21 - 30 years,21 - 30 years,Master's degree,Man,Health,very well payed
13580,2,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed
