,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
14600,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,156000.0,2.5102340310496642
14601,4,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,100000.0,1.6091243788779899
14603,4,35-44,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,well payed,132840.0,2.1375608249015214
14604,3,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,90000.0,1.4482119409901908
14605,0,35-44,11 - 20 years,1 year or less,Master's degree,Woman,Technology & Science,well payed,49770.0,1.1856775300171527
14606,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,57000.0,0.9172008959604542
14607,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,155000.0,2.494142787260884
14608,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,93000.0,1.4964856723565305
14609,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Non-binary,Non profit Organization,bad payed,54000.0,0.8689271645941145
14611,5,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,89000.0,1.4321206972014109
14612,0,55-64,41 years or more,41 years or more,Master's degree,Man,Technology & Science,well payed,170000.0,4.049933295216314
14613,5,35-44,11 - 20 years,5-7 years,Some college,Non-binary,Non profit Organization,bad payed,39500.0,0.635604129656806
14614,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Culture,bad payed,43800.0,0.7047964779485595
14615,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,90000.0,1.4482119409901908
14616,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,well payed,138250.0,3.293548694492091
14617,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,51272.0,0.8250302515383229
14618,4,25-34,8 - 10 years,2 - 4 years,College degree,Man,Technology & Science,well payed,91000.0,1.4643031847789707
14619,1,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
14620,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed,100000.0,1.6091243788779899
14621,1,45-54,2 - 4 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed,34500.0,0.5551479107129065
14622,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Law,bad payed,29000.0,0.46664606987461704
14623,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Health,well payed,87000.0,1.399938209623851
14624,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,51000.0,0.8206534332277748
14625,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed,102000.0,1.6413068664555497
14627,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Advertising,well payed,79000.0,1.271208259313612
14628,5,25-34,5-7 years,5-7 years,College degree,Woman,Other,well payed,87000.0,1.399938209623851
14629,5,25-34,5-7 years,5-7 years,College degree,Woman,Unidentified,well payed,72000.0,1.1585695527921527
14630,4,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
14632,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,42265.0,1.0068848866018678
14634,5,25-34,5-7 years,5-7 years,Some college,Non-binary,Culture,bad payed,44720.0,0.719600422234237
14636,1,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,well payed,92000.0,1.4803944285677506
14637,4,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
14638,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,120000.0,1.9309492546535878
14639,0,35-44,11 - 20 years,5-7 years,Some college,Man,Technology & Science,well payed,100000.0,1.6091243788779899
14640,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed,42000.0,0.6758322391287557
14641,0,25-34,5-7 years,1 year or less,Master's degree,Non-binary,Health,bad payed,57000.0,0.9172008959604542
14642,3,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Education,bad payed,53248.0,0.856826549264952
14643,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,63000.0,1.0137483586931335
14644,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,110000.0,1.7700368167657887
14645,2,35-44,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Health,well payed,187000.0,3.0090625885018407
14646,3,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,77000.0,1.2390257717360522
14647,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
14648,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,85000.0,1.3677557220462913
14649,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,52606.0,0.8464959707525553
14650,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Culture,bad payed,54000.0,0.8689271645941145
14651,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Industry,well payed,84000.0,1.3516644782575113
14653,1,35-44,8 - 10 years,5-7 years,Master's degree,Man,Banking & Insurance,well payed,155000.0,2.494142787260884
14654,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,74000.0,1.1907520403697125
14655,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,69700.0,1.121559692077959
14656,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,80000.0,1.287299503102392
14657,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
14658,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,57960.0,1.510980416692736
14659,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Advertising,well payed,135000.0,2.1723179114852864
14660,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,85000.0,1.3677557220462913
14662,0,25-34,8 - 10 years,8 - 10 years,College degree,Prefer not to answer,Technology & Science,well payed,153000.0,2.4619602996833243
14663,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Other,well payed,106000.0,2.40572289703506
14664,0,25-34,5-7 years,8 - 10 years,Some college,Woman,Unidentified,bad payed,46000.0,0.7401972142838753
14665,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,175000.0,2.8159676630364823
14667,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed,85000.0,1.3677557220462913
14668,0,25-34,8 - 10 years,8 - 10 years,High School,Non-binary,Banking & Insurance,bad payed,42500.0,0.6838778610231456
14669,5,25-34,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,well payed,72000.0,1.1585695527921527
14670,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Law,well payed,97125.0,1.5628620529852475
14671,2,55-64,31 - 40 years,8 - 10 years,College degree,Woman,Health,well payed,92000.0,1.4803944285677506
14672,3,35-44,11 - 20 years,8 - 10 years,PhD,Woman,Education,well payed,121000.0,1.9470404984423677
14673,0,35-44,21 - 30 years,8 - 10 years,Master's degree,Man,Health,well payed,165000.0,2.655055225148683
14674,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Law,well payed,88000.0,1.416029453412631
14675,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,bad payed,30240.0,0.7883376087092536
14676,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed,107000.0,1.721763085399449
14677,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Consulting,well payed,65520.0,1.7080648188700496
14679,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed,72080.0,1.14047745626693
14680,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
14681,0,25-34,8 - 10 years,1 year or less,Master's degree,Woman,Education,bad payed,14000.0,0.22527741304291857
14682,5,25-34,8 - 10 years,5-7 years,Some college,Woman,Consulting,well payed,120000.0,1.9309492546535878
14683,1,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,115000.0,1.8504930357096883
14684,4,25-34,8 - 10 years,1 year or less,College degree,Woman,Technology & Science,well payed,70000.0,1.1263870652145929
14686,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,64900.0,1.0443217218918153
14687,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed,75000.0,1.2068432841584924
14688,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Culture,bad payed,61000.0,0.9815658711155738
14689,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Health,well payed,118000.0,1.898766767076028
14690,2,55-64,31 - 40 years,8 - 10 years,College degree,Woman,Health,well payed,92000.0,1.4803944285677506
14692,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,well payed,71000.0,1.1424783090033728
14693,5,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,99945.0,1.6082393604696068
14694,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,110000.0,1.7700368167657887
14695,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,53560.0,0.8618470173270514
14696,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,97000.0,1.5608506475116501
14697,5,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,84000.0,1.3516644782575113
14698,2,25-34,2 - 4 years,2 - 4 years,College degree,Man,Advertising,well payed,70000.0,1.1263870652145929
14699,1,35-44,11 - 20 years,5-7 years,College degree,Man,Other,bad payed,37419.0,0.602118251332355
14700,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Banking & Insurance,well payed,150000.0,2.413686568316985
14701,0,35-44,11 - 20 years,8 - 10 years,Some college,Non-binary,Technology & Science,well payed,110000.0,1.7700368167657887
14702,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,54000.0,0.8689271645941145
14704,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,39936.0,0.642619911948714
14705,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,75000.0,1.2068432841584924
14706,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Other,bad payed,57000.0,0.9172008959604542
14707,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed,184000.0,2.960788857135501
14708,4,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,165000.0,2.655055225148683
14710,3,35-44,21 - 30 years,11 - 20 years,PhD,Non-binary,Education,bad payed,58240.0,0.9371540382585413
14711,1,45-54,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,well payed,64215.0,1.0332992198965012
14712,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,78500.0,1.263162637419222
14713,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Banking & Insurance,well payed,63000.0,1.6423700181442784
14714,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed,76000.0,1.2229345279472723
14715,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,70560.0,1.839454420321592
14717,1,35-44,8 - 10 years,2 - 4 years,Master's degree,Man,Banking & Insurance,bad payed,40000.0,0.643649751551196
14718,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,105000.0,1.6895805978218892
14719,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Public & Government,well payed,68000.0,1.094204577637033
14720,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,well payed,66000.0,1.0620220900594732
14721,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,145000.0,2.333230349373085
14722,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,141900.0,2.2833474936278675
14724,2,25-34,11 - 20 years,5-7 years,College degree,Man,Health,well payed,47423.88,1.236310454858287
14725,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed,135283.0,2.176871733477511
14726,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,75600.0,1.970844021773134
14727,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Consulting,well payed,93000.0,1.4964856723565305
14728,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,68500.0,1.1022501995314231
14729,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,49350.0,0.794102880976288
14730,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,well payed,156000.0,2.5102340310496642
14731,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Other,bad payed,40830.0,0.6570054838958832
14732,1,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed,55000.0,0.8850184083828944
14733,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,well payed,105000.0,1.6895805978218892
14734,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,68000.0,1.094204577637033
14735,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,165000.0,2.655055225148683
14737,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,68000.0,1.094204577637033
14738,0,25-34,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Unidentified,well payed,43450.0,1.0351153039832286
14739,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Other,bad payed,33000.0,0.5310110450297366
14740,0,25-34,1 year or less,1 year or less,PhD,Woman,Technology & Science,well payed,138000.0,2.220591642851626
14741,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,130350.0,3.1053459119496853
14742,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,59000.0,0.949383383538014
14744,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,99910.0,1.2556302909653938
14745,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,84000.0,1.3516644782575113
14746,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Unidentified,bad payed,60000.0,0.9654746273267939
14747,5,25-34,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed,55000.0,0.8850184083828944
14748,1,35-44,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Other,well payed,103996.0,1.6734249890579542
14749,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,48274.38,1.2584824501032348
14750,2,25-34,11 - 20 years,2 - 4 years,College degree,Man,Health,bad payed,50000.0,0.8045621894389949
14751,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed,117500.0,1.890721145181638
14752,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,100000.0,1.6091243788779899
14753,4,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Technology & Science,well payed,165000.0,2.655055225148683
14754,0,45-54,31 - 40 years,31 - 40 years,Master's degree,Man,Technology & Science,well payed,160000.0,2.574599006204784
14755,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Public & Government,well payed,68000.0,1.094204577637033
14756,0,45-54,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,well payed,120000.0,1.9309492546535878
14757,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,185000.0,2.976880100924281
14758,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Public & Government,well payed,50463.0,1.315538384533567
14759,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,50000.0,0.8045621894389949
14760,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed,60000.0,0.9654746273267939
14761,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,well payed,168150.0,2.70574264308334
14762,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,52000.0,0.8367446770165546
14764,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,79000.0,1.271208259313612
14765,4,18-24,1 year or less,31 - 40 years,College degree,Man,Technology & Science,bad payed,45760.0,0.7363353157745681
14766,2,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed,132000.0,2.1240441801189465
14767,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Consulting,well payed,165000.0,2.655055225148683
14768,1,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Other,well payed,175100.0,2.2005891697331643
14769,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Advertising,bad payed,60000.0,0.9654746273267939
14771,1,55-64,41 years or more,21 - 30 years,College degree,Man,Industry,well payed,185000.0,2.976880100924281
