,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
16786,35-44,1.4964856723565305,93000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Industry,93000.0
16787,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Education,65000.0
16788,25-34,1.0620220900594732,66000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,66000.0
16790,25-34,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,College degree,Woman,Other,90000.0
16791,25-34,0.8528359208053345,53000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,53000.0
16793,25-34,0.5792847763960763,36000.0,2 - 4 years,2 - 4 years,College degree,Woman,Health,36000.0
16794,25-34,1.4079838315182411,87500.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,87500.0
16795,25-34,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,College degree,Woman,Other,90000.0
16796,25-34,0.9654746273267939,60000.0,5-7 years,5-7 years,College degree,Man,Industry,60000.0
16797,45-54,1.287299503102392,80000.0,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,80000.0
16798,35-44,1.898766767076028,118000.0,11 - 20 years,11 - 20 years,Some college,Woman,Unidentified,118000.0
16799,25-34,0.9654746273267939,60000.0,5-7 years,2 - 4 years,College degree,Woman,Advertising,60000.0
16800,25-34,0.8367446770165546,52000.0,8 - 10 years,5-7 years,College degree,Woman,Public & Government,52000.0
16802,45-54,2.0918616925413867,130000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Industry,130000.0
16804,25-34,1.898766767076028,118000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,118000.0
16805,45-54,2.1723179114852864,135000.0,21 - 30 years,21 - 30 years,College degree,Man,Non profit Organization,135000.0
16806,25-34,2.8159676630364823,175000.0,5-7 years,5-7 years,Master's degree,Woman,Other,175000.0
16807,25-34,1.3138960145154228,40000.0,8 - 10 years,5-7 years,High School,Man,Technology & Science,50400.0
16809,35-44,1.9309492546535878,120000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,120000.0
16810,25-34,2.976880100924281,185000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,185000.0
16811,18-24,2.059679204963827,128000.0,1 year or less,1 year or less,College degree,Woman,Technology & Science,128000.0
16812,25-34,1.0459308462706933,65000.0,8 - 10 years,5-7 years,Master's degree,Woman,Culture,65000.0
16813,35-44,1.8255669906613303,97000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,76630.0
16814,25-34,2.244728508534796,139500.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,139500.0
16815,25-34,1.016295025728988,54000.0,5-7 years,2 - 4 years,College degree,Woman,Unidentified,42660.0
16818,25-34,0.9654746273267939,60000.0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,60000.0
16819,35-44,2.8606822946445587,152000.0,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,120080.0
16820,35-44,1.4482119409901908,90000.0,8 - 10 years,5-7 years,Master's degree,Man,Advertising,90000.0
16821,25-34,1.7539455729770088,109000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,109000.0
16822,35-44,2.7355114440925825,170000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,170000.0
16824,35-44,0.5631935326072964,35000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Other,35000.0
16825,35-44,3.8258334851521223,80000.0,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,100800.0
16826,25-34,2.2527741304291857,140000.0,11 - 20 years,11 - 20 years,College degree,Man,Advertising,140000.0
16827,35-44,1.1263870652145929,70000.0,8 - 10 years,8 - 10 years,High School,Man,Technology & Science,70000.0
16829,25-34,1.57694189130043,98000.0,8 - 10 years,2 - 4 years,Master's degree,Man,Technology & Science,98000.0
16830,25-34,2.0114054735974873,125000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,125000.0
16831,55-64,0.7241059704950954,45000.0,31 - 40 years,31 - 40 years,Some college,Woman,Industry,45000.0
16832,25-34,0.9654746273267939,60000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,60000.0
16833,35-44,2.00369142213602,61000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Education,76860.0
16834,25-34,1.2551170155248321,78000.0,11 - 20 years,11 - 20 years,Some college,Woman,Health,78000.0
16835,35-44,1.9953142298087074,124000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,124000.0
16836,25-34,0.9332921397492341,58000.0,5-7 years,5-7 years,College degree,Woman,Education,58000.0
16837,25-34,1.8183105481321284,113000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,113000.0
16838,35-44,0.702865528693906,43680.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Industry,43680.0
16839,35-44,1.9055531732418525,101250.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,79987.5
16840,18-24,1.2390257717360522,77000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,77000.0
16841,35-44,1.1666151746865425,72500.0,11 - 20 years,2 - 4 years,College degree,Man,Advertising,72500.0
16842,35-44,1.5447594037228702,96000.0,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,96000.0
16843,25-34,0.5310110450297366,33000.0,5-7 years,2 - 4 years,College degree,Woman,Health,33000.0
16844,25-34,1.4482119409901908,90000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,90000.0
16845,35-44,0.702865528693906,43680.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Industry,43680.0
16846,45-54,2.976880100924281,185000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,185000.0
16847,25-34,1.623284673412116,100880.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,100880.0
16849,18-24,0.6597409953399758,41000.0,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,41000.0
16850,35-44,1.5206225380397003,94500.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,94500.0
16851,25-34,2.3171391055843054,144000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,144000.0
16852,35-44,1.6091243788779899,100000.0,5-7 years,2 - 4 years,College degree,Woman,Industry,100000.0
16853,25-34,2.1723179114852864,135000.0,8 - 10 years,2 - 4 years,College degree,Man,Banking & Insurance,135000.0
16855,35-44,1.6464092265420593,71000.0,11 - 20 years,11 - 20 years,PhD,Man,Education,75260.0
16856,35-44,1.3275276125743416,82500.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,82500.0
16857,35-44,1.0459308462706933,65000.0,11 - 20 years,1 year or less,College degree,Woman,Technology & Science,65000.0
16858,35-44,2.3525347817800646,125000.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,98750.0
16859,25-34,2.3203573543420615,144200.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,144200.0
16860,35-44,0.8045621894389949,50000.0,11 - 20 years,5-7 years,Some college,Woman,Health,50000.0
16861,45-54,0.8045621894389949,50000.0,11 - 20 years,2 - 4 years,College degree,Woman,Advertising,50000.0
16862,25-34,1.287299503102392,80000.0,8 - 10 years,2 - 4 years,College degree,Man,Advertising,80000.0
16863,25-34,2.7837851754589225,173000.0,8 - 10 years,5-7 years,Master's degree,Woman,Consulting,173000.0
16864,18-24,0.9204191447182102,57200.0,2 - 4 years,1 year or less,Some college,Woman,Industry,57200.0
16865,35-44,1.5125769161453104,94000.0,11 - 20 years,8 - 10 years,Some college,Woman,Technology & Science,94000.0
16866,35-44,2.0918616925413867,130000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,130000.0
16867,35-44,1.898766767076028,118000.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,118000.0
16868,35-44,2.333230349373085,145000.0,8 - 10 years,2 - 4 years,PhD,Woman,Technology & Science,145000.0
16869,25-34,0.7014334079967045,43591.0,8 - 10 years,5-7 years,College degree,Woman,Public & Government,43591.0
16870,35-44,1.0620220900594732,66000.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,66000.0
16871,25-34,0.8850184083828944,55000.0,5-7 years,1 year or less,Master's degree,Woman,Education,55000.0
16872,45-54,0.7363353157745681,45760.0,21 - 30 years,2 - 4 years,College degree,Woman,Health,45760.0
16874,25-34,1.9309492546535878,120000.0,5-7 years,2 - 4 years,Master's degree,Woman,Health,120000.0
16875,25-34,0.8367446770165546,52000.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,52000.0
16876,35-44,1.271208259313612,79000.0,21 - 30 years,11 - 20 years,Some college,Man,Law,79000.0
16877,25-34,1.4482119409901908,90000.0,5-7 years,5-7 years,Master's degree,Woman,Industry,90000.0
16878,25-34,0.7241059704950954,45000.0,5-7 years,2 - 4 years,College degree,Woman,Health,45000.0
16879,35-44,0.7963073813753508,49487.0,5-7 years,2 - 4 years,College degree,Woman,Public & Government,49487.0
16880,35-44,2.4458690558945446,152000.0,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,152000.0
16881,35-44,1.6203649979498842,118000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,83780.0
16882,25-34,0.788470945650215,49000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,49000.0
16883,45-54,2.0918616925413867,130000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,130000.0
16886,25-34,2.413686568316985,150000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,150000.0
16888,25-34,2.7355114440925825,170000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,170000.0
16890,25-34,0.796516567544605,49500.0,5-7 years,5-7 years,Master's degree,Woman,Culture,49500.0
16891,35-44,1.287299503102392,80000.0,11 - 20 years,11 - 20 years,College degree,Woman,Health,80000.0
16892,45-54,0.9137251873020777,56784.0,21 - 30 years,8 - 10 years,College degree,Woman,Other,56784.0
16894,25-34,1.737854329188229,108000.0,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Industry,108000.0
16895,35-44,1.1698334234442986,72700.0,21 - 30 years,21 - 30 years,College degree,Man,Health,72700.0
16896,35-44,1.399938209623851,87000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,87000.0
16897,25-34,1.914858010864808,119000.0,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,119000.0
16898,45-54,0.8528359208053345,53000.0,21 - 30 years,2 - 4 years,Master's degree,Woman,Health,53000.0
16900,25-34,1.882675523287248,117000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,117000.0
16901,25-34,0.7698051028552303,47840.0,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,47840.0
16902,25-34,1.1263870652145929,70000.0,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,70000.0
16903,35-44,0.8032748899358925,49920.0,11 - 20 years,11 - 20 years,High School,Man,Industry,49920.0
16905,25-34,0.9011096521716743,56000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,56000.0
16906,25-34,0.643649751551196,40000.0,2 - 4 years,1 year or less,Master's degree,Man,Culture,40000.0
16907,35-44,2.365412836950645,147000.0,5-7 years,2 - 4 years,PhD,Woman,Technology & Science,147000.0
16908,25-34,0.643649751551196,40000.0,2 - 4 years,2 - 4 years,College degree,Non-binary,Non profit Organization,40000.0
16909,35-44,0.9374758631343169,58260.0,21 - 30 years,5-7 years,Master's degree,Woman,Education,58260.0
16910,35-44,1.9402074435631482,90000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,95400.0
16911,25-34,0.7031873535696815,43700.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,43700.0
16912,35-44,1.411520869068039,75000.0,8 - 10 years,5-7 years,College degree,Woman,Education,59250.0
16913,25-34,1.245462269251564,77400.0,5-7 years,2 - 4 years,Master's degree,Woman,Other,77400.0
16914,25-34,1.5608506475116501,97000.0,2 - 4 years,2 - 4 years,College degree,Woman,Industry,97000.0
16915,35-44,0.28964238819803817,18000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,18000.0
16917,35-44,1.271208259313612,79000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,79000.0
16919,35-44,0.8528359208053345,53000.0,11 - 20 years,11 - 20 years,College degree,Man,Other,53000.0
16920,25-34,2.102803738317757,130680.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,130680.0
16921,35-44,0.7241059704950954,45000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,45000.0
16923,18-24,1.4482119409901908,90000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,90000.0
16924,25-34,1.016295025728988,54000.0,1 year or less,1 year or less,College degree,Woman,Public & Government,42660.0
16925,25-34,1.3033907468911716,81000.0,8 - 10 years,8 - 10 years,College degree,Woman,Health,81000.0
16926,25-34,0.5631935326072964,35000.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,35000.0
16927,25-34,1.1585695527921527,72000.0,2 - 4 years,2 - 4 years,Master's degree,Man,Industry,72000.0
16928,25-34,1.5061404186297984,93600.0,2 - 4 years,1 year or less,College degree,Woman,Other,93600.0
16929,45-54,2.266470625039104,69000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,86940.0
16930,35-44,1.2148728148090935,75499.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,75499.0
16931,55-64,2.3010478617955252,143000.0,21 - 30 years,11 - 20 years,PhD,Man,Technology & Science,143000.0
16932,25-34,1.094204577637033,68000.0,8 - 10 years,5-7 years,College degree,Woman,Consulting,68000.0
16933,25-34,1.4803944285677506,92000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,92000.0
16934,25-34,1.4506105870020964,77077.0,5-7 years,2 - 4 years,College degree,Woman,Public & Government,60890.83
16935,25-34,1.2233180865256337,65000.0,2 - 4 years,2 - 4 years,College degree,Man,Health,51350.0
16936,25-34,1.5286681599340903,95000.0,8 - 10 years,5-7 years,Some college,Man,Culture,95000.0
16937,25-34,1.0057027367987437,62500.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,62500.0
16938,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,College degree,Man,Culture,65000.0
16939,18-24,1.1168116123381093,34000.0,8 - 10 years,5-7 years,Some college,Man,Technology & Science,42840.0
16940,35-44,1.1022501995314231,68500.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,68500.0
16941,25-34,1.6091243788779899,100000.0,11 - 20 years,8 - 10 years,College degree,Woman,Education,100000.0
16942,45-54,0.9976571149043537,62000.0,31 - 40 years,21 - 30 years,PhD,Woman,Education,62000.0
16943,25-34,0.9332921397492341,58000.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Industry,58000.0
16944,25-34,0.35400736335315774,22000.0,8 - 10 years,2 - 4 years,High School,Woman,Education,22000.0
16945,25-34,1.7780824386601788,110500.0,5-7 years,5-7 years,College degree,Man,Technology & Science,110500.0
16946,25-34,1.914858010864808,119000.0,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,119000.0
16947,35-44,1.8504930357096883,115000.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,115000.0
16948,25-34,1.4916582992198966,92700.0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,92700.0
16949,35-44,1.9224669467202018,140000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,99400.0
16950,35-44,1.2068432841584924,75000.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,75000.0
16953,35-44,1.6423700181442784,50000.0,21 - 30 years,11 - 20 years,Some college,Woman,Advertising,63000.0
16955,35-44,1.5286681599340903,95000.0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,95000.0
16958,25-34,1.1489148065188848,71400.0,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,71400.0
16960,35-44,2.4487976622641026,152182.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,152182.0
16961,55-64,1.9309492546535878,120000.0,31 - 40 years,31 - 40 years,College degree,Woman,Education,120000.0
16962,25-34,0.7241059704950954,45000.0,5-7 years,5-7 years,College degree,Woman,Unidentified,45000.0
16963,25-34,1.2797789212883552,68000.0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,53720.0
16964,35-44,2.542416518627224,158000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,158000.0
16965,25-34,1.5045312942509204,93500.0,2 - 4 years,2 - 4 years,College degree,Woman,Industry,93500.0
16967,25-34,1.1424783090033728,71000.0,5-7 years,5-7 years,College degree,Non-binary,Non profit Organization,71000.0
16968,25-34,2.220591642851626,138000.0,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,138000.0
16969,35-44,2.7033289565150227,168000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,168000.0
16970,25-34,1.6091243788779899,100000.0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,100000.0
16971,25-34,0.8850184083828944,55000.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,55000.0
16972,35-44,2.6228727375711234,163000.0,11 - 20 years,11 - 20 years,PhD,Man,Public & Government,163000.0
16973,25-34,1.4964856723565305,93000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,93000.0
16974,25-34,1.6895805978218892,105000.0,8 - 10 years,8 - 10 years,College degree,Woman,Consulting,105000.0
16975,35-44,2.333230349373085,145000.0,11 - 20 years,2 - 4 years,Master's degree,Man,Technology & Science,145000.0
16976,35-44,2.357946499832651,146536.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,146536.0
