,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
13327,0,1.2390257717360522,11 - 20 years,11 - 20 years,College degree,Consulting,75000.0
13328,2,2.542416518627224,5-7 years,5-7 years,College degree,Banking & Insurance,120000.0
13329,0,3.636621096264257,21 - 30 years,21 - 30 years,College degree,Law,166000.0
13330,1,2.1803635333796763,11 - 20 years,11 - 20 years,PhD,Public & Government,132000.0
13331,2,1.287299503102392,5-7 years,2 - 4 years,Some college,Industry,75000.0
13332,2,1.8504930357096883,5-7 years,2 - 4 years,College degree,Other,115000.0
13333,2,0.6241006068948258,5-7 years,1 year or less,College degree,Retail,23940.0
13334,2,1.4482119409901908,5-7 years,5-7 years,Master's degree,Technology & Science,90000.0
13335,2,0.8370665018923303,5-7 years,5-7 years,College degree,Education,52020.0
13336,1,2.1723179114852864,11 - 20 years,2 - 4 years,Master's degree,Health,125000.0
13337,0,1.1746607965809326,11 - 20 years,11 - 20 years,College degree,Unidentified,70000.0
13338,0,1.3516644782575113,5-7 years,2 - 4 years,College degree,Technology & Science,84000.0
13339,2,0.6919234829175356,5-7 years,5-7 years,College degree,Culture,43000.0
13340,0,1.737854329188229,2 - 4 years,1 year or less,College degree,Health,108000.0
13341,2,1.7700368167657887,21 - 30 years,21 - 30 years,College degree,Education,110000.0
13342,0,1.287299503102392,11 - 20 years,8 - 10 years,College degree,Non profit Organization,80000.0
13343,0,0.9301549563077437,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,35280.0
13344,2,2.357367215056255,5-7 years,5-7 years,College degree,Banking & Insurance,137500.0
13345,2,0.9459076748796376,5-7 years,2 - 4 years,College degree,Human Ressources,58784.0
13346,0,1.5334955330707243,11 - 20 years,8 - 10 years,Some college,Public & Government,95300.0
13347,3,0.9184881954635565,2 - 4 years,2 - 4 years,College degree,Health,54080.0
13348,3,0.5631935326072964,2 - 4 years,2 - 4 years,High School,Health,35000.0
13349,3,1.1536354107108824,5-7 years,2 - 4 years,Master's degree,Law,45425.0
13350,0,1.3452279807419996,2 - 4 years,2 - 4 years,College degree,Technology & Science,80000.0
13351,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Education,130000.0
13352,1,0.985422010886567,8 - 10 years,5-7 years,Master's degree,Human Ressources,37800.0
13353,3,1.407179269328802,2 - 4 years,2 - 4 years,College degree,Other,79500.0
13354,0,1.5286681599340903,41 years or more,41 years or more,High School,Industry,60000.0
13355,1,1.5286681599340903,11 - 20 years,11 - 20 years,PhD,Education,77000.0
13356,3,2.1803635333796763,2 - 4 years,2 - 4 years,College degree,Consulting,115500.0
13357,2,0.6597409953399758,1 year or less,5-7 years,College degree,Education,41000.0
13358,0,1.287299503102392,11 - 20 years,8 - 10 years,College degree,Human Ressources,80000.0
13359,0,1.08857264231096,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,67650.0
13360,0,1.6288139481532462,11 - 20 years,11 - 20 years,College degree,Retail,60480.0
13361,0,1.705671841610669,8 - 10 years,5-7 years,College degree,Technology & Science,100000.0
13362,2,0.9371540382585413,5-7 years,5-7 years,College degree,Non profit Organization,58240.0
13363,2,0.6677866172343657,8 - 10 years,5-7 years,College degree,Non profit Organization,41500.0
13364,2,1.2551170155248321,8 - 10 years,5-7 years,College degree,Non profit Organization,78000.0
13365,0,0.7080147267063155,21 - 30 years,11 - 20 years,College degree,Technology & Science,44000.0
13366,0,2.1723179114852864,21 - 30 years,11 - 20 years,College degree,Other,135000.0
13367,2,2.035542339280657,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,125000.0
13368,1,3.3823794444015345,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Health,180200.0
13369,0,1.8504930357096883,11 - 20 years,5-7 years,Master's degree,Technology & Science,110000.0
13370,2,0.9976571149043537,5-7 years,2 - 4 years,Master's degree,Education,62000.0
13371,0,1.6895805978218892,11 - 20 years,5-7 years,College degree,Other,75000.0
13372,2,0.643649751551196,21 - 30 years,21 - 30 years,College degree,Education,40000.0
13373,2,1.247071393630442,5-7 years,5-7 years,Master's degree,Banking & Insurance,73500.0
13374,3,0.5873303982904663,2 - 4 years,1 year or less,Master's degree,Construction,36000.0
13375,0,4.022810947194975,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,230000.0
13376,0,1.1147209134677274,1 year or less,1 year or less,College degree,Banking & Insurance,67275.0
13377,0,1.0700677119538633,2 - 4 years,2 - 4 years,College degree,Technology & Science,63000.0
13378,3,1.7967527998498405,2 - 4 years,2 - 4 years,College degree,Human Ressources,68922.0
13379,3,0.8528359208053345,1 year or less,2 - 4 years,Master's degree,Social,53000.0
13380,2,1.2551170155248321,31 - 40 years,31 - 40 years,PhD,Education,78000.0
13381,0,2.333230349373085,8 - 10 years,8 - 10 years,PhD,Education,145000.0
13382,3,1.399938209623851,2 - 4 years,2 - 4 years,College degree,Advertising,77000.0
13383,3,0.9091552740660642,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,55000.0
13384,2,1.4087883937076802,5-7 years,5-7 years,College degree,Industry,87550.0
13385,0,1.166857251762912,11 - 20 years,8 - 10 years,College degree,Public & Government,48980.0
13386,3,2.365412836950645,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,142000.0
13387,3,1.0620220900594732,2 - 4 years,2 - 4 years,College degree,Advertising,65000.0
13388,0,1.6573981102443296,2 - 4 years,2 - 4 years,College degree,Technology & Science,93000.0
13389,1,3.298704976699879,11 - 20 years,11 - 20 years,Unknown,Law,190000.0
13390,2,1.1585695527921527,5-7 years,5-7 years,College degree,Education,72000.0
13391,3,1.3516644782575113,2 - 4 years,2 - 4 years,College degree,Industry,84000.0
13392,0,1.6413068664555497,2 - 4 years,1 year or less,PhD,Technology & Science,102000.0
13393,0,1.6573981102443296,8 - 10 years,8 - 10 years,PhD,Unidentified,91000.0
13394,0,1.4873941196158698,11 - 20 years,11 - 20 years,Unknown,Technology & Science,92435.0
13395,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Culture,130000.0
13396,1,1.2810486141525372,8 - 10 years,5-7 years,Master's degree,Unidentified,49140.0
13397,1,1.4964856723565305,11 - 20 years,11 - 20 years,Master's degree,Consulting,90000.0
13398,4,0.28964238819803817,8 - 10 years,8 - 10 years,Master's degree,Education,18000.0
13399,1,2.3171391055843054,11 - 20 years,5-7 years,Master's degree,Health,132000.0
13400,0,2.799876419247702,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,144000.0
13401,3,0.9332921397492341,2 - 4 years,2 - 4 years,College degree,Non profit Organization,58000.0
13402,1,1.1022501995314231,11 - 20 years,11 - 20 years,College degree,Health,66500.0
13403,0,1.6252156226667698,8 - 10 years,8 - 10 years,College degree,Industry,101000.0
13404,2,1.390425481227368,11 - 20 years,5-7 years,College degree,Education,53364.5
13405,1,1.275231070260807,11 - 20 years,11 - 20 years,College degree,Health,75000.0
13406,0,0.7031873535696815,8 - 10 years,8 - 10 years,College degree,Education,43700.0
13407,2,0.6114672639736362,8 - 10 years,5-7 years,College degree,Education,38000.0
13408,0,3.350434837014328,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,128520.0
13409,1,0.9172008959604542,11 - 20 years,11 - 20 years,Master's degree,Education,57000.0
13410,3,2.17714528462192,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,123000.0
13411,0,0.5857212739115882,1 year or less,1 year or less,College degree,Technology & Science,36400.0
13412,2,1.4964856723565305,5-7 years,5-7 years,College degree,Technology & Science,82000.0
13413,2,1.1569604284132746,5-7 years,2 - 4 years,College degree,Industry,68500.0
13414,1,2.220591642851626,8 - 10 years,8 - 10 years,Master's degree,Health,116000.0
13415,0,1.2551170155248321,8 - 10 years,8 - 10 years,College degree,Education,78000.0
13416,0,1.2075948160853822,11 - 20 years,8 - 10 years,College degree,Non profit Organization,48190.0
13417,2,0.941337761643624,5-7 years,5-7 years,Master's degree,Education,58500.0
13418,0,1.3516644782575113,11 - 20 years,8 - 10 years,Master's degree,Advertising,84000.0
13419,0,1.369480655612731,11 - 20 years,11 - 20 years,College degree,Education,47485.32
13420,0,1.5125769161453104,31 - 40 years,31 - 40 years,College degree,Health,88000.0
13421,0,0.9654746273267939,8 - 10 years,8 - 10 years,Some college,Construction,60000.0
13422,1,1.0539764681650834,5-7 years,5-7 years,Master's degree,Non profit Organization,65000.0
13423,0,1.0542982930408589,11 - 20 years,2 - 4 years,College degree,Industry,65520.0
13424,3,0.571560979377462,5-7 years,2 - 4 years,Some college,Public & Government,35000.0
13425,2,0.6597409953399758,5-7 years,5-7 years,Master's degree,Public & Government,41000.0
13426,0,0.9471949743827399,11 - 20 years,5-7 years,College degree,Health,58864.0
13427,0,2.976880100924281,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Consulting,160000.0
13428,2,1.3516644782575113,5-7 years,5-7 years,Master's degree,Public & Government,84000.0
13429,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Culture,120000.0
13430,0,1.1585695527921527,11 - 20 years,2 - 4 years,College degree,Banking & Insurance,72000.0
13431,2,1.07103318658119,5-7 years,5-7 years,Some college,Law,66560.0
13432,0,1.9309492546535878,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Technology & Science,120000.0
13433,0,0.8286990551221648,11 - 20 years,5-7 years,College degree,Public & Government,51500.0
13434,2,1.7700368167657887,5-7 years,5-7 years,College degree,Technology & Science,110000.0
13435,2,1.3902834633505832,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Public & Government,86400.0
13436,0,1.8066070199587063,8 - 10 years,8 - 10 years,College degree,Non profit Organization,69300.0
13437,1,3.765351046574496,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,190000.0
13438,4,1.6284338714245257,8 - 10 years,8 - 10 years,Master's degree,Advertising,92000.0
13439,2,1.2143110388120713,5-7 years,2 - 4 years,College degree,Industry,41580.0
13440,3,1.416029453412631,2 - 4 years,2 - 4 years,Master's degree,Public & Government,88000.0
13441,2,2.8964238819803816,5-7 years,5-7 years,Master's degree,Industry,180000.0
13442,2,2.0114054735974873,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,125000.0
13443,0,0.8190443088488968,21 - 30 years,8 - 10 years,College degree,Banking & Insurance,50900.0
13444,2,1.803411473222794,5-7 years,5-7 years,College degree,Advertising,63200.0
13445,1,1.4803944285677506,8 - 10 years,5-7 years,Master's degree,Human Ressources,90000.0
13446,0,0.8996093005526968,11 - 20 years,8 - 10 years,College degree,Social,37762.0
13447,4,1.287299503102392,21 - 30 years,11 - 20 years,High School,Banking & Insurance,72000.0
13448,2,1.1292166952544311,5-7 years,1 year or less,College degree,Other,47400.0
13449,0,1.7024535928529132,1 year or less,1 year or less,PhD,Industry,100800.0
13450,0,2.075770448752607,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,119000.0
13451,0,2.9286063695579414,11 - 20 years,11 - 20 years,College degree,Technology & Science,152000.0
13452,1,1.4482119409901908,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,90000.0
13453,1,0.5648026569861744,11 - 20 years,11 - 20 years,Master's degree,Health,35000.0
13454,4,0.78444813470302,8 - 10 years,8 - 10 years,Master's degree,Education,48750.0
13455,2,0.5187816997502639,8 - 10 years,5-7 years,College degree,Retail,32240.0
13456,1,2.8159676630364823,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,175000.0
13457,0,2.2527741304291857,8 - 10 years,8 - 10 years,PhD,Other,140000.0
13458,2,0.9091552740660642,5-7 years,2 - 4 years,Some college,Banking & Insurance,55000.0
13459,0,1.2890856311629464,11 - 20 years,11 - 20 years,College degree,Education,80111.0
13460,0,0.5149198012409567,31 - 40 years,31 - 40 years,College degree,Other,32000.0
13461,0,2.0918616925413867,21 - 30 years,8 - 10 years,College degree,Banking & Insurance,122000.0
13462,1,1.1392600602456169,11 - 20 years,11 - 20 years,Master's degree,Public & Government,70700.0
13463,1,0.7578493087201669,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,47097.0
13464,2,0.5792847763960763,5-7 years,5-7 years,College degree,Retail,36000.0
13465,2,0.788470945650215,5-7 years,5-7 years,Master's degree,Non profit Organization,49000.0
13466,0,1.1263870652145929,1 year or less,1 year or less,College degree,Industry,70000.0
13467,0,2.0918616925413867,11 - 20 years,8 - 10 years,College degree,Unidentified,130000.0
13468,0,1.2086776859504134,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,75114.0
13469,1,0.9654746273267939,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,60000.0
13470,3,1.298360968172289,2 - 4 years,2 - 4 years,College degree,Advertising,39500.0
13471,3,1.2551170155248321,2 - 4 years,2 - 4 years,Master's degree,Health,78000.0
13472,1,2.7355114440925825,11 - 20 years,11 - 20 years,PhD,Industry,160000.0
13473,0,1.3138960145154228,11 - 20 years,11 - 20 years,College degree,Public & Government,50400.0
13474,2,0.7681316135011972,5-7 years,2 - 4 years,College degree,Non profit Organization,47736.0
13475,0,0.5020468062099328,1 year or less,1 year or less,Some college,Retail,31200.0
13476,1,0.8045621894389949,11 - 20 years,11 - 20 years,Master's degree,Education,50000.0
13477,0,1.3951108364872171,11 - 20 years,11 - 20 years,College degree,Technology & Science,85700.0
13478,1,0.6041296568059525,11 - 20 years,5-7 years,Master's degree,Culture,37544.0
13479,0,1.2068432841584924,11 - 20 years,11 - 20 years,College degree,Technology & Science,75000.0
13480,0,1.1292166952544311,11 - 20 years,11 - 20 years,College degree,Technology & Science,47400.0
13481,1,1.2551170155248321,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,73000.0
13482,0,1.9309492546535878,11 - 20 years,11 - 20 years,College degree,Non profit Organization,120000.0
13483,0,0.9654746273267939,11 - 20 years,2 - 4 years,College degree,Retail,55000.0
13484,3,1.6734893540331093,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,104000.0
13485,0,1.9785550165943324,11 - 20 years,11 - 20 years,College degree,Technology & Science,92300.0
13486,1,2.494142787260884,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,135000.0
13487,0,2.0921835174171624,2 - 4 years,2 - 4 years,College degree,Technology & Science,119820.0
13488,0,0.4859555624211529,1 year or less,1 year or less,Some college,Social,30200.0
13489,0,1.399938209623851,11 - 20 years,8 - 10 years,High School,Consulting,72000.0
13490,0,0.5255584058061691,2 - 4 years,1 year or less,Some college,Technology & Science,20160.0
13491,0,0.9654746273267939,11 - 20 years,11 - 20 years,College degree,Culture,60000.0
13492,0,2.333230349373085,21 - 30 years,21 - 30 years,College degree,Technology & Science,145000.0
13493,3,1.0980664761463403,8 - 10 years,2 - 4 years,Master's degree,Unidentified,63240.0
13494,0,1.399938209623851,2 - 4 years,1 year or less,College degree,Technology & Science,80000.0
13495,2,5.310110450297366,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,305000.0
13496,1,4.264179604026673,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,215000.0
13497,3,7.241059704950954,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,200000.0
13498,3,0.9815658711155738,2 - 4 years,2 - 4 years,Master's degree,Culture,57000.0
13499,4,1.0331289495088531,8 - 10 years,5-7 years,Master's degree,Technology & Science,38430.0
13500,2,2.542416518627224,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,150000.0
13501,3,1.3677557220462913,2 - 4 years,2 - 4 years,College degree,Industry,85000.0
13502,2,0.5149198012409567,5-7 years,5-7 years,College degree,Education,32000.0
13503,3,1.9309492546535878,31 - 40 years,31 - 40 years,PhD,Public & Government,120000.0
13504,3,1.4079838315182411,2 - 4 years,2 - 4 years,College degree,Industry,87500.0
13505,2,1.1843155428542005,8 - 10 years,5-7 years,College degree,Human Ressources,73600.0
13506,2,0.8032748899358925,5-7 years,5-7 years,College degree,Education,49920.0
13507,3,0.9654746273267939,2 - 4 years,2 - 4 years,Master's degree,Consulting,60000.0
13508,0,1.1263870652145929,2 - 4 years,2 - 4 years,College degree,Non profit Organization,67000.0
13509,2,2.333230349373085,5-7 years,1 year or less,College degree,Banking & Insurance,135000.0
13510,1,2.8743627867459645,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,162390.0
13511,2,1.1746607965809326,2 - 4 years,5-7 years,College degree,Human Ressources,48000.0
13512,0,0.7160603486007054,8 - 10 years,8 - 10 years,College degree,Education,43500.0
