,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
17294,2,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,very well payed
17295,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
17296,2,11 - 20 years,11 - 20 years,Master's degree,Culture,very well payed
17297,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17298,1,21 - 30 years,11 - 20 years,Some college,Technology & Science,very well payed
17299,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17300,4,2 - 4 years,31 - 40 years,Some college,Other,very bad payed 
17301,3,8 - 10 years,8 - 10 years,Unknown,Non profit Organization,well payed
17302,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17303,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
17304,0,5-7 years,5-7 years,College degree,Advertising,bad payed
17305,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17306,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17307,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
17308,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17309,0,5-7 years,5-7 years,College degree,Public & Government,bad payed
17310,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
17311,1,11 - 20 years,11 - 20 years,Some college,Other,bad payed
17312,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
17313,2,11 - 20 years,5-7 years,High School,Technology & Science,very well payed
17314,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17315,0,21 - 30 years,21 - 30 years,Master's degree,Education,well payed
17316,1,11 - 20 years,11 - 20 years,College degree,Advertising,well payed
17317,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
17318,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17319,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17320,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
17321,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
17322,2,21 - 30 years,2 - 4 years,Master's degree,Technology & Science,very well payed
17323,4,2 - 4 years,1 year or less,College degree,Technology & Science,bad payed
17324,4,1 year or less,1 year or less,College degree,Education,very bad payed 
17325,3,21 - 30 years,8 - 10 years,Master's degree,Unidentified,bad payed
17326,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17327,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
17328,2,11 - 20 years,8 - 10 years,Some college,Technology & Science,very well payed
17329,1,21 - 30 years,21 - 30 years,College degree,Health,well payed
17330,2,5-7 years,5-7 years,Master's degree,Technology & Science,very well payed
17331,0,5-7 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
17332,3,11 - 20 years,8 - 10 years,Master's degree,Public & Government,well payed
17333,0,5-7 years,2 - 4 years,College degree,Banking & Insurance,well payed
17334,2,8 - 10 years,5-7 years,High School,Technology & Science,very well payed
17335,2,21 - 30 years,5-7 years,High School,Banking & Insurance,very well payed
17336,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
17337,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,very well payed
17338,1,21 - 30 years,21 - 30 years,College degree,Advertising,well payed
17339,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
17340,1,11 - 20 years,11 - 20 years,PhD,Health,very well payed
17341,4,2 - 4 years,2 - 4 years,College degree,Health,well payed
17342,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
17343,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17344,2,21 - 30 years,8 - 10 years,Some college,Unidentified,very well payed
17345,0,8 - 10 years,5-7 years,Master's degree,Technology & Science,well payed
17346,0,5-7 years,5-7 years,College degree,Industry,well payed
17347,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
17348,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
17349,4,2 - 4 years,41 years or more,Master's degree,Education,bad payed
17350,0,5-7 years,5-7 years,College degree,Retail,well payed
17351,2,21 - 30 years,11 - 20 years,Master's degree,Industry,very well payed
17352,1,11 - 20 years,11 - 20 years,College degree,Construction,very well payed
17353,1,11 - 20 years,11 - 20 years,College degree,Health,well payed
17354,1,2 - 4 years,1 year or less,College degree,Technology & Science,very well payed
17355,4,8 - 10 years,5-7 years,College degree,Health,bad payed
17356,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17357,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17358,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17359,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17360,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17361,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
17362,1,11 - 20 years,11 - 20 years,College degree,Education,bad payed
17363,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
17364,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,very well payed
17365,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
17366,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
17367,4,31 - 40 years,31 - 40 years,High School,Health,bad payed
17368,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
17369,1,11 - 20 years,8 - 10 years,Some college,Law,bad payed
17370,0,2 - 4 years,2 - 4 years,Master's degree,Culture,well payed
17371,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
17372,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17373,3,8 - 10 years,8 - 10 years,Master's degree,Culture,well payed
17374,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
17375,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,very well payed
17376,0,5-7 years,2 - 4 years,Master's degree,Health,well payed
17377,1,11 - 20 years,11 - 20 years,College degree,Advertising,very well payed
17378,0,5-7 years,2 - 4 years,College degree,Advertising,well payed
17379,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17380,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
17381,2,21 - 30 years,21 - 30 years,PhD,Education,very well payed
17382,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
17383,1,11 - 20 years,2 - 4 years,College degree,Non profit Organization,well payed
17384,1,2 - 4 years,1 year or less,College degree,Technology & Science,very well payed
17385,3,8 - 10 years,8 - 10 years,Master's degree,Public & Government,very well payed
17386,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Public & Government,well payed
17387,1,11 - 20 years,8 - 10 years,Some college,Technology & Science,well payed
17388,2,11 - 20 years,5-7 years,Some college,Other,bad payed
17389,3,8 - 10 years,8 - 10 years,Master's degree,Culture,bad payed
17390,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17391,0,5-7 years,2 - 4 years,Master's degree,Other,bad payed
17392,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
17393,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17394,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
17395,0,2 - 4 years,1 year or less,Master's degree,Health,well payed
17396,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
17397,0,2 - 4 years,5-7 years,PhD,Technology & Science,well payed
17398,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
17399,0,5-7 years,2 - 4 years,College degree,Industry,well payed
17400,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17401,0,5-7 years,5-7 years,Master's degree,Industry,very well payed
17402,0,5-7 years,5-7 years,High School,Health,bad payed
17403,4,2 - 4 years,2 - 4 years,College degree,Culture,very bad payed 
17404,3,8 - 10 years,2 - 4 years,Master's degree,Construction,well payed
17405,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
17406,1,11 - 20 years,8 - 10 years,College degree,Public & Government,well payed
17407,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
17408,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17409,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
17410,1,11 - 20 years,11 - 20 years,College degree,Consulting,very well payed
17411,0,21 - 30 years,21 - 30 years,PhD,Education,well payed
17412,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
17413,4,2 - 4 years,2 - 4 years,Some college,Non profit Organization,bad payed
17414,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17415,1,11 - 20 years,11 - 20 years,High School,Technology & Science,very well payed
17416,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17417,0,5-7 years,5-7 years,College degree,Industry,very well payed
17418,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
17419,0,5-7 years,5-7 years,High School,Industry,bad payed
17420,4,5-7 years,2 - 4 years,Some college,Health,bad payed
17421,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17422,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
17423,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17424,3,8 - 10 years,8 - 10 years,College degree,Culture,very well payed
17425,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
17426,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17427,2,21 - 30 years,11 - 20 years,Master's degree,Public & Government,very well payed
17428,1,11 - 20 years,11 - 20 years,High School,Retail,well payed
17429,0,8 - 10 years,5-7 years,Master's degree,Culture,well payed
17430,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,well payed
17431,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
17432,1,8 - 10 years,1 year or less,College degree,Technology & Science,well payed
17433,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
17434,1,1 year or less,2 - 4 years,College degree,Technology & Science,well payed
17435,2,11 - 20 years,8 - 10 years,Master's degree,Consulting,very well payed
17436,1,21 - 30 years,21 - 30 years,College degree,Health,very well payed
17437,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
17438,3,8 - 10 years,8 - 10 years,College degree,Other,bad payed
17439,3,8 - 10 years,8 - 10 years,College degree,Retail,well payed
17440,1,11 - 20 years,8 - 10 years,College degree,Industry,well payed
17441,0,11 - 20 years,5-7 years,Master's degree,Education,well payed
17442,0,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,well payed
17443,0,5-7 years,2 - 4 years,Master's degree,Industry,well payed
17444,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
17445,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17446,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
17447,0,5-7 years,11 - 20 years,College degree,Non profit Organization,well payed
17448,4,1 year or less,1 year or less,Some college,Human Ressources,bad payed
17449,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17450,2,11 - 20 years,2 - 4 years,Master's degree,Consulting,bad payed
17451,2,5-7 years,5-7 years,Master's degree,Technology & Science,very well payed
17452,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
17453,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
17454,3,8 - 10 years,8 - 10 years,College degree,Industry,very well payed
17455,1,11 - 20 years,11 - 20 years,Some college,Other,well payed
17456,4,1 year or less,1 year or less,College degree,Non profit Organization,bad payed
17457,4,2 - 4 years,2 - 4 years,Master's degree,Health,bad payed
17458,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17459,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
17460,0,21 - 30 years,5-7 years,College degree,Unidentified,very bad payed 
17461,1,11 - 20 years,11 - 20 years,PhD,Public & Government,well payed
17462,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
17463,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,well payed
17464,1,11 - 20 years,8 - 10 years,High School,Health,well payed
17465,1,21 - 30 years,8 - 10 years,College degree,Technology & Science,very well payed
17466,0,21 - 30 years,11 - 20 years,Some college,Non profit Organization,bad payed
17467,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17468,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
17469,0,8 - 10 years,5-7 years,Master's degree,Culture,well payed
17470,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17471,1,11 - 20 years,5-7 years,College degree,Banking & Insurance,well payed
17472,4,2 - 4 years,2 - 4 years,College degree,Retail,very bad payed 
17473,0,5-7 years,5-7 years,College degree,Industry,well payed
17474,1,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,well payed
17475,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17476,3,8 - 10 years,8 - 10 years,College degree,Retail,well payed
17477,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
17478,4,2 - 4 years,2 - 4 years,Master's degree,Social,bad payed
17479,1,1 year or less,1 year or less,College degree,Technology & Science,very well payed
17480,0,8 - 10 years,5-7 years,College degree,Advertising,well payed
17481,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17482,2,11 - 20 years,11 - 20 years,Master's degree,Advertising,very well payed
17483,0,5-7 years,5-7 years,College degree,Industry,well payed
17484,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
17485,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
17486,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
17487,3,8 - 10 years,8 - 10 years,College degree,Law,very well payed
